City,Bedrooms,Bathrooms,Size (sqft),Year Built,Garage,Distance to City Center (miles),Price (USD)
Los Angeles,3,2,1400,1990,1,5.2,750000
San Francisco,2,1,900,1985,0,2.1,950000
San Diego,4,3,2000,2005,2,8.3,820000
San Jose,3,2,1600,2010,1,6.5,870000
Fresno,3,2,1500,2000,2,4.7,450000
Sacramento,4,3,2200,2015,2,10.4,670000
Irvine,2,2,1300,2018,1,3.8,780000
Bakersfield,3,1,1200,1995,1,6.0,330000
Oakland,3,2,1400,2003,1,3.2,690000
Anaheim,4,3,2100,2012,2,5.6,800000
Long Beach,2,1,1000,1988,0,4.5,600000
Stockton,3,2,1600,2007,2,7.0,510000
Riverside,4,3,2300,2014,2,9.8,720000
Santa Ana,2,2,1200,2011,1,3.6,670000
Chula Vista,3,2,1700,2006,2,8.2,590000
Modesto,3,1,1400,1992,1,7.5,410000
Oxnard,3,2,1800,2016,2,5.1,630000
Glendale,2,1,1100,1980,1,2.5,710000
Huntington Beach,4,3,2400,2017,2,3.3,980000
Fontana,3,2,1600,2009,2,6.9,520000
